[2026-08-29 11:08:01,778] 15 root- INFO -Initiate the data ingestion
[2026-08-29 11:08:05,196] 53 root- INFO -Performed train test split on the dataframe
[2026-08-29 11:08:05,196] 54 root- INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-29 11:08:05,197] 57 root- INFO -Exporting train and test file path
[2026-08-29 11:08:05,358] 64 root- INFO -Exported train and test file path
[2026-08-29 11:08:05,360] 17 root- INFO -Data Initiation Completed
[2026-08-29 11:08:05,402] 21 root- INFO -Initiate the data Validation
[2026-08-29 11:08:05,554] 32 root- INFO -Required number of columns: 31
[2026-08-29 11:08:05,555] 33 root- INFO -Data frame has columns: 31
[2026-08-29 11:08:05,556] 32 root- INFO -Required number of columns: 31
[2026-08-29 11:08:05,556] 33 root- INFO -Data frame has columns: 31
[2026-08-29 11:08:06,122] 23 root- INFO -data Validation Completed
